1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
7.2.011|7.2.011 श्र्युकः किति	The augment इट् is not added to an affix having an indicatory फ् when it comes after the root श्रि or after a mono-syllabic root ending in 1. उ 2. ऊ 3. ऋ or 4. ॠ in the धातुपाठ।<br><br>Terms: इट् augment
7.2.012|7.2.012 सनि ग्रहगुहोश्च	The Desiderative affix सन् does not get the augment इट् , not only after roots ending in 1. उ 2. ऊ 3. ऋ and 4. ॠ but also after ग्रह and गुह।<br><br>Terms: इट् augment
7.2.013|7.2.013 कृसृभृवृस्तुद्रुस्रुश्रुवो लिटि	The personal endings of the लिट् (Perfect Tense) do not get the augment इट् after 1 कृ 2. सृ 3. भृ 4. वृ 5. स्तु 6. द्रु 7. स्रु 8.श्रु।<br><br>Terms: इट् augment
7.2.014|7.2.014 श्वीदितो निष्ठायाम्	The participial affixes त and तथत् (क्त and क्तवतु) do not get the इट् augment after श्वि and after the root which has an indicatory ई।<br><br>Terms: इट् augment
7.2.015|7.2.015 यस्य विभाषा	The participial affixes do not take the इट् augment after those roots, to which another suffix can optionally be added, with or without this augment इ।<br><br>Terms: इट् augment
7.2.016|7.2.016 आदितश्च	The participial affixes do not take the इट् augment after a root which has an indicatory आ।<br><br>Terms: इट् augment
7.2.017|7.2.017 विभाषा भावादिकर्मणोः	The participial affixes optionally take the इट् augment after roots having an indicatory आ when the affixes have an Impersonal sense or denote the beginning of an action.<br><br>Terms: इट् augment
7.2.018|7.2.018 क्षुब्धस्वान्तध्वान्तलग्नम्लिष्टविरिब्धफाण्टबाढानि मन्थमनस्तमःसक्ताविस्पष्टस्वरानायासभृशेषु	The following words are made without the इट् augment in the senses given against them - 1. क्षुब्ध 'a churning stick' 2. स्वान्तः 'the mind' 3. ध्वान्तः 'darkness' 4. लग्नः 'attached' 5. म्लिष्टः 'indistinct or unintelligible' 6. विरिब्धः 'a note or a tone' 7. फाण्टः 'made without an effort or by an easy process' and 8. बाढः 'excessive'.<br><br>Terms: इट् augment
7.2.019|7.2.019 धृषिशसी वैयात्ये	The participial affix does not get इट् augment after the roots 1. धृष् and 2. शस् when meaning 'bold, impudent and arrogant'.<br><br>Terms: इट् augment
7.2.020|7.2.020 दृढः स्थूलबलयोः	The irregularly formed Past Participle दृढ means 'stout' and 'strong'.<br><br>Terms: Irregular
7.2.021|7.2.021 प्रभौ परिवृढः	The irregularly formed परिवृढ means 'Lord'.<br><br>Terms: Irregular
7.2.022|7.2.022 कृच्छ्रगहनयोः कषः	The participial affix does not take the augment इट् after the root कष् when the participle means 'difficult' and 'impenetrable'.<br><br>Terms: इट् augment
7.2.023|7.2.023 घुषिरविशब्दने	The participial affix does not take the augment इट् after the root घुष् in any sense other than that of 'proclaimed'.<br><br>Terms: इट् augment
7.2.024|7.2.024 अर्देः संनिविभ्यः	The participial affix does not take the augment इट् after the root अर्द when it is preceded by 1. सं 2. नि or 3. वि।<br><br>Terms: इट् augment
7.2.025|7.2.025 अभेश्चाविदूर्ये	The participial affix does not take the augment इट् after the root अर्द when it is preceded by अभि, when the meaning is that of 'near'.<br><br>Terms: इट् augment
7.2.026|7.2.026 णेरध्ययने वृत्तम्	The word वृत्त is formed from the causative of वृत् in the sense of 'studied through or read'.<br><br>Terms: इट् augment
7.2.027|7.2.027 वा दान्तशान्तपूर्णदस्तस्पष्टच्छन्नज्ञप्ताः	The following irregularly formed participles from the causative roots may optionally take इट् - 1. दान्त 2. शान्त 3. पूर्ण 4. दस्त 5. स्पष्ट 6. छन्न and 7. ज्ञप्त।<br><br>Terms: इट् augment
7.2.028|7.2.028 रुष्यमत्वरसंघुषास्वनाम्	The participial affix may optionally get इट् augment after 1. रुष् 2. अम् 3. त्वर 4. संघुष् and 5. आस्वन्।<br><br>Terms: इट् augment
7.2.029|7.2.029 हृषेर्लोमसु	The participial affix may optionally get इट् augment after हृष् when the word लोमन् or its synonym is in construction with it.<br><br>Terms: इट् augment
7.2.030|7.2.030 अपचितश्च	And after अपचित has also a second form with the augment इ ।<br><br>Terms: इट् augment
7.2.031|7.2.031 ह्रु ह्वरेश्छन्दसि	ह्रु is substituted for ह्वर् in the छन्दस् (Vedas) before the Participial-affix.<br><br>Terms: इट् augment
7.2.032|7.2.032 अपरिह्वृताश्च	The word अपरिह्वृता is irregularly formed in the छन्दस् (Vedas).<br><br>Terms: इट् augment
7.2.033|7.2.033 सोमे ह्वरितः	ह्वरित् is irregularly formed from ह्वृ in the छन्दस् (Vedas) by गुण substitution and इट् augment when it refers to सोम।<br><br>Terms: इट् augment
7.2.034|7.2.034 ग्रसितस्कभितस्तभितोत्तभितचत्तविकस्तविशस्तॄशंस्तृशास्तृतरुतृतरूतृवरुतृवरूतृवरुत्रीरुज्ज्वलितिक्षरितिक्षमितिवमित्यमितीति च	In the छन्दस् (Vedas), the following irregular forms are found, some with and some without the augment इट् 1. ग्रसित 2. स्कभित 3. स्तभित 4. उत्तभित 5. चत्त 6. विकस्त 7. विशस्तॄ 8. शंस्तृ 9. शास्तृ 10. तरुतृ 11. तरूतृ 12. वरुतृ 13. वरूतृ 14. वरुत्रीः 15. उज्ज्वलिति 16. क्षरिति 17. क्षमिति 18. वमिति and 19. अमिति।<br><br>Terms: इट् augment
7.2.035|7.2.035 आर्धधातुकस्येड् वलादेः	An आर्धधातुक affix -- आर्द्धधातुकं शेषः 3.4.114 etc., beginning with a consonant (except य) gets the augment इट् (in these rules).<br><br>Terms: इट् augment
7.2.036|7.2.036 स्नुक्रमोरनात्मनेपदनिमित्ते	The augment इट् is added to a आर्धधातुक वलादि affixes after स्नु and क्रम् only then they do not occasion the taking of the personal endings of the आत्मनेपद ।<br><br>Terms: इट् augment
7.2.037|7.2.037 ग्रहोऽलिटि दीर्घः	The augment इट् added to वलादि आर्धधातुक affixes, becomes lengthened, except in the personal endings of the लिट् (Perfect Tense), after the root ग्रह।<br><br>Terms: इट् augment
7.2.038|7.2.038 वॄतो वा	The इट् augment is optionally lengthened after वॄ , वृञ् and after roots ending in long ॠ, except in the लिट् (Perfect Tense).<br><br>Terms: इट् augment
7.2.039|7.2.039 न लिङि	The इट् is not lengthened after वॄ , वृञ् and after roots ending in long ॠ in the endings of the Benedictive.<br><br>Terms: इट् augment
7.2.040|7.2.040 सिचि च परस्मैपदेषु	The इट् is not lengthened after वॄ , वृञ् and after roots ending in long ॠ in the s-Aorist of the परस्मैपद ।<br><br>Terms: इट् augment
7.2.041|7.2.041 इट् सनि वा	The Desiderative स् may optionally take इट् (which is optionally lengthened also) after the said after वृ and ॠ ending roots.<br><br>Terms: इट् augment
7.2.042|7.2.042 लिङ्सिचोरात्मनेपदेषु	The इट् is optionally added to endings of the आत्मनेपद Benedictive and s-Aorist, after वृ and ॠ ending roots.<br><br>Terms: इट् augment
7.2.043|7.2.043 ऋतश्च संयोगादेः	The इट् is optionally added to endings of the आत्मनेपद Benedictive and s-Aorist, after a root which ends in short ऋ which is preceded by a conjunct consonant.<br><br>Terms: इट् augment
7.2.044|7.2.044 स्वरतिसूतिसूयतिधूञूदितो वा	A वलादि आर्धधातुक affix optionally takes इट् after स्वृ , after the two roots सू (सूति and सूयति) after धूञ् and after a root which has an indicatory long ऊ।<br><br>Terms: इट् augment
7.2.045|7.2.045 रधादिभ्यश्च	A वलादि आर्धधातुक affix optionally takes इट् after रध् and the seven roots that follow it (दिवादिगणः (4th Conjugation) 94 to 91).<br><br>Terms: इट् augment
7.2.046|7.2.046 निरः कुषः	A वलादि आर्धधातुक affix optionally takes इट् after कुष् when it is preceded by निर्।<br><br>Terms: इट् augment
7.2.047|7.2.047 इण्निष्ठायाम्	The augment इट् is added to the Participial affixes त and तवत् after कुष् when it is preceded by निर्।<br><br>Terms: इट् augment
7.2.048|7.2.048 तीषसहलुभरुषरिषः	An आर्धधातुक affix beginning with a त may optionally take the इट् affix after the roots 1. इष् 2. सह् 3. लुभ् 4. रुष् and 5. रिष्।<br><br>Terms: इट् augment
7.2.049|7.2.049 सनीवन्तर्धभ्रस्जदम्भुश्रिस्वृयूर्णुभरज्ञपिसनाम्	The Desiderative स् may optionally take the इट् augment after a root ending in इव् and after 1. ऋधु 2. भ्रस्ज 3. दम्भु 4. श्रि 5. स्वृ 6. यु 7. ऊर्णु 8. भृ 9. ज्ञप् and 10. सन्।<br><br>Terms: इट् augment
7.2.050|7.2.050 क्लिशः क्त्वानिष्ठयोः	The affixes क्त्वा , क्त and क्त्वातु optionally get the इट् augment after क्लिश्।<br><br>Terms: इट् augment
7.2.051|7.2.051 पूङश्च	The affixes क्त्वा , क्त and क्त्वातु optionally get the इट् augment after पू।<br><br>Terms: इट् augment
7.2.052|7.2.052 वसतिक्षुधोरिट्	The affixes क्त्वा , क्त and क्त्वातु always get the इट् augment after वस् 'to dwell' and क्षुध्।<br><br>Terms: इट् augment
7.2.053|7.2.053 अञ्चेः पूजायाम्	The affixes क्त्वा , क्त and क्त्वातु get the इट् augment after the root अञ्च् when meaning 'to honour or do something to show honour'.<br><br>Terms: इट् augment
7.2.054|7.2.054 लुभो विमोचने	The affixes क्त्वा , क्त and क्त्वातु get the इट् augment after the root लुभ् (तुदादिगणः (6th Conjugation)) when meaning 'entangled of confused'.<br><br>Terms: इट् augment
7.2.055|7.2.055 जॄव्रश्च्योः क्त्वि	The affix क्त्वा gets the इट् augment after जॄ and जॄव्रश्च्।<br><br>Terms: इट् augment
7.2.056|7.2.056 उदितो वा	The affix क्त्वा optionally gets the इट् augment after a root which has an indicatory short उ।<br><br>Terms: इट् augment
7.2.057|7.2.057 सेऽसिचि कृतचृतच्छृदतृदनृतः	An आर्धधातुक affix beginning with a स् (except सिच् the characteristic of s-Aorist) may optionally take the इट् augment after the verbs 1. कृत् (तुदादिगणः (6th Conjugation) and रुधादिगणः (7th Conjugation) 2. चृत् - तुदादिगणः (6th Conjugation) 3. छृद् - रुधादिगणः (7th Conjugation) 4. तृद् -- तुदादिगणः (6th Conjugation) and 5. नृत् -- दिवादिगणः (4th Conjugation).<br><br>Terms: इट् augment
7.2.058|7.2.058 गमेरिट् परस्मैपदेषु	An आर्धधातुक affix beginning with स् gets the इट् augment after गम् 'to go' in the परस्मैपद ।<br><br>Terms: इट् augment
7.2.059|7.2.059 न वृद्भ्यश्चतुर्भ्यः	The परस्मैपद आर्धधातुक affixes beginning with स् do not get the इट् augment after वृत् and the three roots (वृध् , शृध् and स्यन्द्) that follow it.<br><br>Terms: इट् augment
7.2.060|7.2.060 तासि च कॢपः	The परस्मैपद आर्धधातुक affixes beginning with स् and the affix तास् (the sign of the Periphrastic Future) do not get the इट् augment after the root कॢप्।<br><br>Terms: इट् augment
7.2.061|7.2.061 अचस्तास्वत्‌ थल्यनिटो नित्यम्	After a root which ends in a vowel and after the Periphrastic Future affix तासि is always devoid of the इट् augment (after such a root) थल् the personal ending of the लिट् (Perfect Tense) तास्, does not also get the augment इट् ।<br><br>Terms: इट् augment
7.2.062|7.2.062 उपदेशेऽत्वतः	After a root which possesses a short अ as its root-vowel in the original enunciation (the धातुपाठ) and after which the Periphrastic Future तास् is always devoid of the augment इट् , थल् the personal-ending of the लिट् (Perfect Tense), like तास् does not get the augment इट् ।<br><br>Terms: इट् augment
7.2.063|7.2.063 ऋतो भारद्वाजस्य	In the opinion of भारद्वाज , it is only after a root which ends in short ऋ and after which the Periphrastic Future तास् is always devoid of the augment इट् , थल् the personal-ending of the लिट् (Perfect Tense), like तास् does not get the augment इट् ।<br><br>Terms: इट् augment
7.2.064|7.2.064 बभूथाततन्थजगृम्भववर्थेति निगमे	In the छन्दस् (Vedas) are found the irregular forms 1. बभूथ 2. आततन्थ 3. जगृम्भ 4. and 5. ववर्थ।<br><br>Terms: इट् augment
7.2.065|7.2.065 विभाषा सृजिदृषोः	थल् the personal-ending of the लिट् (Perfect Tense) gets the augment इट् after सृज् and दृश्।<br><br>Terms: इट् augment
7.2.066|7.2.066 इडत्त्यर्तिव्ययतीनाम्	थल् the personal-ending of the लिट् (Perfect Tense) gets the augment इट् after 1. अद् 2. ॠ and 3. व्यय्।<br><br>Terms: इट् augment
7.2.067|7.2.067 वस्वेकाजाद्घसाम्	The Participial affix वस् gets the augment इट् only then the reduplicated root before it consists of one syllable or when it comes after a root ending in long आ and after घस्।<br><br>Terms: इट् augment
7.2.068|7.2.068 विभाषा गमहनविदविशाम्	The affix वस् optionally takes इट् after 1. गम् 'to go' 2. हन् 'to kill' 3. विद् 'to know' and 4. विश् 'to enter'.<br><br>Terms: इट् augment
7.2.069|7.2.069 सनिंससनिवांसम्	The form सनिवांसम् with सनि is irregularly formed.<br><br>Terms: इट् augment
7.2.070|7.2.070 ऋद्धनोः स्ये	स्य the sign of Future and Conditional gets the augment इट् after a root ending in short ऋ and after हन् 'to kill'.<br><br>Terms: इट् augment
7.2.071|7.2.071 अञ्जेः सिचि	The स् of the s-Aorist always takes the इट् augment after अञ्ज् - रुधादिगणः (7th Conjugation).<br><br>Terms: इट् augment
7.2.072|7.2.072 स्तुसुधूञ्भ्यः परस्मैपदेषु	The सिच् of the Aorist in परस्मैपद takes the augment इट् after the roots 1. स्तु 2. सु and 3. धूञ्।<br><br>Terms: इट् augment
7.2.073|7.2.073 यमरमनमातां सक् च	The सिच् of the Aorist in परस्मैपद takes the augment इट् after the roots 1. यम् 2. रम् 3. नम् and roots ending in the long आ and स् (सक्) is added at the end of these अङ्ग (stems).<br><br>Terms: इट् augment
7.2.074|7.2.074 स्मिपूङ्रञ्ज्वशां सनि	The Desiderative सन् gets the augment इट् after the roots 1. स्मिङ् 2. पूङ् 3. ऋ 4. अञ्जू and 5. अशू।<br><br>Terms: इट् augment
7.2.075|7.2.075 किरश्च पञ्चभ्यः	The Desiderative सन् gets the augment इट् after the root कॄ - तुदादिगणः (6th Conjugation) and the four roots that follow it.<br><br>Terms: इट् augment
7.2.076|7.2.076 रुदादिभ्यः सार्वधातुके	A सार्वधातुक affix beginning with a consonant other than य gets the augment इट् after the root रुद् - रुधादिगणः (7th Conjugation) and the four that follow it.<br><br>Terms: इट् augment
7.2.077|7.2.077 ईशः से	The सार्वधातुक affix से (the ending of the 2nd person Present and Imperative आत्मनेपदि) get the augment इट् after the root ईश - अदादिगणः (2nd Conjugation).<br><br>Terms: इट् augment
7.2.078|7.2.078 ईडजनोर्ध्वे च	The सार्वधातुक affixes से and ध्वे (the endings of the Present and Imperative आत्मनेपदि) get the augment इट् after the roots ईड् - अदादिगणः (2nd Conjugation) and जन् 'to produce'.<br><br>Terms: इट् augment
7.2.079|7.2.079 लिङः सलोपोऽनन्त्यस्य	In the सार्वधातुक लिङ् (Potential) the स् which is not final (i.e. the स् of the augments यास् and सीय् ) is elided.<br><br>Terms: इट् augment
7.2.080|7.2.080 अतो येयः	After a Present अङ्ग (stem) ending in a short अ , इय् is substituted for the सार्वधातुक या (i.e. for the या of the augment यास् of the लिङ् (Potential)).<br><br>Terms: Some substitution
7.2.081|7.2.081 आतो ङितः	For the आ being a portion of a सार्वधातुक personal-ending which is ङित् (i.e. आते , आथे and आताम् and आथाम्), coming after a verbal अङ्ग (stem) ending in a short अ , there is substituted इय् ।<br><br>Terms: Some substitution
7.2.082|7.2.082 आने मुक्	Before the participial ending आन , a verbal अङ्ग (stem) ending in shot अ , gets the augment मुक्।<br><br>Terms: Some substitution
7.2.083|7.2.083 ईदासः	ई is substituted for the आ of आन after आस्।<br><br>Terms: Some substitution
7.2.084|7.2.084 अष्टन आ विभक्तौ	आ is substituted for the final of अष्टन् before a case-ending.<br><br>Terms: Some substitution
7.2.085|7.2.085 रायो हलि	Before a case-ending beginning with a consonant, आ is substituted for the final of रै।<br><br>Terms: Some substitution
7.2.086|7.2.086 युष्मदस्मदोरनादेशे	आ is substituted for the final of युष्मद् and अस्मद् before a case-ending.<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.087|7.2.087 द्वितीयायां च	आ is substituted for the final of युष्मद् and अस्मद् before the case-ending of the Accusative -2nd case.<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.088|7.2.088 प्रथमायाश्च द्विवचने भाषायाम्	आ is substituted for the final of युष्मद् and अस्मद् before the case-ending of the Nominative 1st-Case dual in the secular literature.<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.089|7.2.089 योऽचि	य is substituted for the final of युष्मद् and अस्मद् before a case-ending which is not a substitute and which begins with a vowel.<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.090|7.2.090 शेषे लोपः	In the remaining cases where (आ or य is not substituted) there is elision of the final युष्मद् and अस्मद्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.091|7.2.091 मपर्यन्तस्य	The substitutions taught hereafter up to प्रतयोत्तरपदयोश्च 7.2.98 take effect with regard to the portions of युष्मद् and अस्मद् up to म् i.e. the substitutes replace युष्म् and अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.092|7.2.092 युवावौ द्विवचने	In the dual, युव is substituted for युष्म् and आव for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.093|7.2.093 यूयवयौ जसि	In the Nominative 1st-Case plural यूय is substituted for युष्म् and वय for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.094|7.2.094 त्वाहौ सौ	In the Nominative 1st-Case singular त्व is substituted for युष्म् and अह for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.095|7.2.095 तुभ्यमह्यौ ङयि	In the Dative -4th Case singular तुभ्य is substituted for युष्म् and मह्य for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.096|7.2.096 तवममौ ङसि	In the Genitive 6th-Case singular तव is substituted for युष्म् and मम for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.097|7.2.097 त्वमावेकवचने	In the remaining cases of the singular त्व is substituted for युष्म् and म for अस्म्।<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.098|7.2.098 प्रतयोत्तरपदयोश्च	त्व is substituted for युष्म् and म for अस्म् when they signify a single individual, even when an affix follows or a word is in composition.<br><br>Terms: सर्वनाम युष्मद्- अस्मद्
7.2.099|7.2.099 त्रिचतुरोः स्त्रियां तिसृचतसृ	तिसृ is substituted for त्रि and चतसृ for चतुर् in the feminine when a case-ending follows.<br><br>Terms: सर्वनाम
7.2.100|7.2.100 अचि र ऋतः	र् is substituted for ऋ of तिसृ and चतसृ before the case-affixes beginning with a vowel.<br><br>Terms: सर्वनाम
7.2.101|7.2.101 जराया जरसन्यतरस्याम्	जरस् may be substituted for जरा , optionally before a case-affix beginning with a vowel.<br><br>Terms: सर्वनाम
7.2.102|7.2.102 त्यदादीनामः	For the final of त्यद् etc. there is substituted अ when an affix called विभक्ति follows.<br><br>Terms: सर्वनाम
7.2.103|7.2.103 किमः कः	क is substituted for किम् before a विभक्ति affix.<br><br>Terms: सर्वनाम
7.2.104|7.2.104 कु तिहोः	कु is substituted for किम् before a विभक्ति affix beginning with a त or ह।<br><br>Terms: सर्वनाम
7.2.105|7.2.105 क्वाति	कु is substituted for किम् before the विभक्ति अत् ।<br><br>Terms: सर्वनाम
7.2.106|7.2.106 तदोः सः सावनन्त्ययोः	For the non-final त् and द् of त्यद् etc. there is substituted स् in the Nominative 1st-Case singular.<br><br>Terms: सर्वनाम
7.2.107|7.2.107 अदस औ सुलोपश्च	For the स् of अदस् there is substituted औ whereby the Nominative 1st-Case singular affix सु is elided.<br><br>Terms: सर्वनाम
7.2.108|7.2.108 इदमो मः	म् is substituted for the final म् of इदम् in the Nominative 1st-Case singular.<br><br>Terms: सर्वनाम इदम्
7.2.109|7.2.109 दश्च	म् is substituted for the द् of इदम् before a विभक्ति affix.<br><br>Terms: सर्वनाम इदम्
7.2.110|7.2.110 यः सौ	म् is substituted for the द् of इदम् before a विभक्ति affix.<br><br>Terms: सर्वनाम इदम्
7.2.111|7.2.111 इदोऽय् पुंसि	अय् is substituted for the इद् of इदम् in the Nominative 1st-Case singular masculine.<br><br>Terms: सर्वनाम इदम्
7.2.112|7.2.112 अनाप्यकः	अन is substituted for the इद् of इदम् in the Instrumental -3rd case singular and the cases that follow, provided that the augment अकच् is not added.<br><br>Terms: सर्वनाम इदम्
7.2.113|7.2.113 हलि लोपः	The इद् of इदम् is elided before a विभक्ति affix beginning with a consonant.<br><br>Terms: सर्वनाम इदम्
7.2.114|7.2.114 मृजेर्वृद्धिः	The वृद्धि (आर्) is substituted for the root vowel (ऋ) of the अङ्ग (stem) मृज् before an affix.<br><br>Terms: तद्धित वृद्धि
7.2.115|7.2.115 अचो ञ्णिति	Before the affixes having an indicatory ञ् or ण् , वृद्धि is substituted for the end-vowel of a अङ्ग (stem).<br><br>Terms: तद्धित वृद्धि
7.2.116|7.2.116 अत उपधायाः	In a अङ्ग (stem) ending in a consonant with an अ immediately preceding it, the वृद्धि is substituted for such अ when followed by an indicatory ञ् or ण्।<br><br>Terms: तद्धित वृद्धि
7.2.117|7.2.117 तद्धितेष्वचामादेः	The वृद्धि is substituted for the first vowel of the अङ्ग (stem) when a तद्धित affix having an indicatory ञ् or ण् follows.<br><br>Terms: तद्धित वृद्धि
7.2.118|7.2.118 किति च	The वृद्धि is substituted for the first vowel of the अङ्ग (stem) when a तद्धित affix with an indicatory क् follows.<br><br>Terms: तद्धित वृद्धि
7.3.001|7.3.001 देविकाशिंशपादित्यवाड्दीर्घसत्रश्रेयसामात्‌	When a तद्धित affix having an indicatory ञ् , ण् or क् follows, आ is substituted instead of वृद्धि for the first vowels of the following - 1. देविका 2. शिंशपा 3. दित्यवाट् 4. दीर्घसत्र and 5. श्रेयस।<br><br>Terms: तद्धित changes
7.3.002|7.3.002 केकयमित्त्रयुप्रलयानां यादेरियः	Before a तद्धित affix having an indicatory ञ् , ण् or क् the वृद्धि is not substituted for the first vowel in a compound when it follows a word ending in य् or व् but ऐ and औ are respectively placed before the semi-vowels.<br><br>Terms: तद्धित changes
7.3.003|7.3.003 न य्वाभ्यां पदान्ताभ्याम् पूर्वौ तु ताभ्यामैच्	Before a तद्धित affix with an indicatory ञ् , ण् or क् the वृद्धि is not substituted for the first vowel in a compound when it follows a word ending in य् or व् but ऐ and औ are respectively placed before the semi-vowels.<br><br>Terms: तद्धित changes
7.3.004|7.3.004 द्वारादीनां च	Before a तद्धित affix with an indicatory ञ् , ण् or क् the वृद्धि is not substituted for the first vowel after य् or व् but ऐ and औ are respectively placed before the semi-vowels in द्वार etc.<br><br>Terms: तद्धित changes
7.3.005|7.3.005 न्यग्रोधस्य च केवलस्य	ऐ is placed before the य् of न्यग्रोध instead of वृद्धि when the word stands alone and is not a member of a compound and is followed by a तद्धित affix with the indicatory ञ् , ण् or क् ।<br><br>Terms: Peculiar वृद्धि
7.3.006|7.3.006 न कर्मव्यतिहारे	The prohibition and the augment ordained by न य्वाभ्यां पदान्ताभ्याम् पूर्वौ तु ताभ्यामैच् 7.3.3, do not apply to a word which expresses the reciprocity of an action.<br><br>Terms: Peculiar वृद्धि
7.3.007|7.3.007 स्वागतादीनां च	The prohibition and the augment ordained by न य्वाभ्यां पदान्ताभ्याम् पूर्वौ तु ताभ्यामैच् 7.3.3, do not apply also to स्वागत etc.<br><br>Terms: वृद्धि
7.3.008|7.3.008 श्वादेरिञि	A compound beginning with श्वन् and followed by the तद्धित affix इञ् is not governed by the prohibition nor takes the augment taught in द्वारादीनां च 7.3.4.<br><br>Terms: वृद्धि
7.3.009|7.3.009 पदान्तस्यान्यतरस्याम्	The sūtra द्वारादीनां च 7.3.4 is optionally applied to श्वन् followed by पद।<br><br>Terms: वृद्धि
7.3.010|7.3.010 उत्तरपदस्य	Up to यथातथयथापुरयोः पर्यायेण 7.3.31 inclusive, the substitution of वृद्धि will take place for the first vowel of the second member in a compound.<br><br>Terms: वृद्धि
7.3.011|7.3.011 अवयवादृतोः	Before a तद्धित affix having an indicatory ञ् , ण् or क् वृद्धि is substituted for the first vowel of a word denoting season when it is preceded by a word denoting a part.<br><br>Terms: वृद्धि
7.3.012|7.3.012 सुसर्वार्धाज्जनपदस्य	After 1. सु 2. सर्व and 3. अर्ध the first vowel of the name of a country gets the वृद्धि when a तद्धित affix with an indicatory ञ् , ण् or क् follows.<br><br>Terms: वृद्धि
7.3.013|7.3.013 दिशोऽमद्राणाम्	After a word denoting direction, the first vowel of the name of a country with the exception of मद्र gets वृद्धि before a तद्धित affix having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.014|7.3.014 प्राचां ग्रामनगराणाम्	After a word denoting direction, the first vowel of the name of a village or city in the land of the Eastern people, gets the वृद्धि before a तद्धित affix having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.015|7.3.015 संख्यायाः संवत्सरसंख्यस्य च	After a numeral, the first vowel of संवत्सर and of a numeral, gets वृद्धि before a तद्धित affix having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.016|7.3.016 वर्षस्याभविष्यति	After a numeral, the first vowel of वर्ष gets वृद्धि before a तद्धित affix having an indicatory ञ् , ण् or क् when the affix does not refer to a Future time.<br><br>Terms: वृद्धि
7.3.017|7.3.017 परिमाणान्तस्यासंज्ञाशाणयोः	After a numeral, the first vowel of a word denoting mass in its widest sense (with the exception of शाण) gets the वृद्धि before a तद्धित affix having an indicatory ञ् , ण् or क् when the word so formed does not mean a Name.<br><br>Terms: वृद्धि
7.3.018|7.3.018 जे प्रोष्ठपदानाम्	In प्रोष्ठपद and its synonyms, the first vowel of the second member gets the वृद्धि before a तद्धित affix meaning 'born in that time' and having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.019|7.3.019 हृद्भगसिन्ध्वन्ते पूर्वपदस्य च	The वृद्धि is substituted for the first vowels of both (the first and second) members in a compound ending with 1. हृद् 2. भग and 3. सिन्धु before a तद्धित affix having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.020|7.3.020 अनुशतिकादीनां च	Before a तद्धित affix having an indicatory ञ् , ण् or क् , the वृद्धि is substituted for the first vowel of both members of the compounds अनुशतिका etc.<br><br>Terms: वृद्धि
7.3.021|7.3.021 देवताद्वंद्वे च	Before a तद्धित affix having an indicatory ञ् , ण् or क् , the वृद्धि is substituted for the first vowels of both members of द्वन्द समास of the names of देवता-s।<br><br>Terms: वृद्धि
7.3.022|7.3.022 नेन्द्रस्य परस्य	But the वृद्धि of the first vowel of इन्द्र when it stands as the second member of a द्वन्द समास , does not take place before a तद्धित affix having an indicatory ञ् , ण् or क् ।<br><br>Terms: वृद्धि
7.3.023|7.3.023 दीर्घाच्च वरुणस्य	Before a तद्धित affix having an indicatory ञ् , ण् or क् in a द्वन्द समास of god-names, the वृद्धि is not substituted for the first vowel of वरुण when a long vowel precedes it.<br><br>Terms: वृद्धि
7.3.024|7.3.024 प्राचां नगरान्ते	Before a तद्धित affix having an indicatory ञ् , ण् or क् the वृद्धि is substituted for the first vowels of both members of the compound which is the name of a city of the Eastern people and which ends in the word नगर।<br><br>Terms: वृद्धि
7.3.025|7.3.025 जङ्गलधेनुवलजान्तस्य विभाषितमुत्तरम्‌	Before a तद्धित affix having an indicatory ञ् , ण् or क् the वृद्धि is substituted for the first vowel of the compound ending in 1. जङ्गल 2. धेनु and 3. बलज and optionally for the first vowel of these second members also.<br><br>Terms: वृद्धि
7.3.026|7.3.026 अर्धात्‌ परिमाणस्य पूर्वस्य तु वा	Before a तद्धित affix having an indicatory ञ् , ण् or क् the वृद्धि is substituted for the first vowel of the second member, denoting a mass in its widest sense when the word अर्ध precedes it, but optionally for the first vowel of अर्ध।<br><br>Terms: वृद्धि
