धातुः	सङ्ख्या	अर्थः	गणादिः	सेट्त्वम्	सकर्मकता	पदप्रकारः	धातुसादृश्यम्	क्त्वान्ताः	तुम्	शिष्टोक्तिः
अट	११	अट गतौ	१-भ्वादिः-२९५ सक। सेट्। पर।	से	सक	पर		अटित्वा, आटयित्वा, अटिटिषित्वा, अटाटित्वा	अटितुम्, आटयितुम्, अटिटिषितुम्, अटाटितुम्	आटकः-टिका, आटकः-टिका, अटिटिषकः-षिका,  अटाटकः-टिका;  अटिता-त्री, आटयिता-त्री;  अटिटिषिता-त्री, अटाटिता-त्री;   अटन्-पर्यटन्-न्ती, आटयन्-न्ती;  अटिटिषन्-न्ती;  अटिष्यन्-ती-न्ती, आटयिष्यन्-ती-न्ती, अटिटिषिष्यन्-न्ती-ती;  आटयमानः, आटयिष्यमाणः, अटाट्यमानः ;  अट्, अटौ-अटः;  अटितम्, आटितम्, अटिटिषितम्-तः-तवान्;  अटाटितम्-तः तवान्;  अटः,   पर्याटी,  भिक्षाटः,  रात्रिमटः  रात्र्यटः, अटिटिषुः, आटिटयिषुः,  कुलटा, अंटाटः, अटनः ;  अटितव्यम्, आटयितव्यम्, अटिटिषितव्यम्, अटाटितव्यम्;  अटनीयम्, आटनीयम्, अटिटिषणीयम्, अटाटनीयम्;  आट्यम्, आट्यम्, अटिटिष्यम्, अटाट्यम्;  ईषदटः-दुरटः-स्वटः;  अट्यमानः, आट्यमानः, अटिटिष्यमाणः, अटाट्यमानः;  आटः, आटः, अटिटिषः, अटाटः;  अटितुम्, आटयितुम्, अटिटिषितुम्, अटाटितुम्;  अट्टिः, अटा, आटना, पर्याटना, अटाटा , अटिटिषा, आटिटयिषा, अटा  ट्या;  पर्यटनम्, आटनम्, अटिटिषणम्, अटाटनम्;  अटित्वा, आटयित्वा, अटिटिषित्वा, अटाटित्वा;  पर्यट्य, समाट्य, समटिटिष्य, समटाट्य;   आटम् २, अटित्वा २, आटम् २, आटयित्वा २, अटिटिषम् २, अटिटिषित्वा २, अटाटम् २;  अटाटित्वा २;  अटविः , अटवी;
अट्ट	१२	अट्ट अतिक्रमहिंसनयोः	१-भ्वादिः-२५४। सक-सेट्। आ।	से	सक	आत्म		अट्टित्वा, अट्टयित्वा, अटिट्टिषित्वा, अट्टिटिषित्वा	अट्टितुम्, अट्टयितुम्, अटिट्टिषितुम्, अट्टिटिषितुम्	अट्टकः-ट्टिका, अट्टकः-ट्टिका,  अटिट्टिषकः, अट्टिटिषकः-षिका;  अट्टिता-त्री, अट्टयिता-त्री, अटिट्टिषिता-त्री, अट्टिटिषिता-त्री;  अट्टयन्-न्ती, अट्टयिष्यन्-ती-ती;  अट्टमानः, अट्टयमानः, अटिट्टिषमाणः, अट्टिटिषमाणः;  अट्टिष्यमाणः, अट्टयिष्यमाणः, अटिट्टिषिष्यमाणः, अट्टिटिषिष्यमाणः;  अट्, अट्टौ-अट्टः,  मार्गात्;  अट्टितम्-तः-तवान्, अट्टितः, अटिट्टिषितम्, अट्टिटिषितम्-तः-तवान्;  अट्टः, अट्टः, अटिट्टिषुः, अट्टिटिषुः;  अट्टितव्यम्, अट्टयितव्यम्, अटिट्टिषितव्यम्, अट्टिटिषितव्यम्;  अट्टनीयम्, अट्टनीयम्, अटिट्टिषणीयम्, अट्टिटिषणीयम्;  अट्ट्यम्, अट्ट्यम्, अटिट्टिष्यम्, अट्टिटिष्यम्;  ईषटट्टः, दुरट्टः, स्वट्टः;  अट्ट्यमानः, अट्ट्यमानः, अटिट्टिष्यमाणः, अट्टिटिष्यमाणः;  अट्टः, अट्टः, अटिट्टिषः, अट्टिटिषः;  अट्टितुम्, अट्टयितुम्, अटिट्टिषितुम्, अट्टिटिषितुम्;  अट्टा , अट्टना, अटिट्टिषा, अट्टिटिषा;   अट्टनम्, अट्टनम्, अटिट्टिषणम्, अट्टिटिषणम्;  अट्टित्वा, अट्टयित्वा, अटिट्टिषित्वा, अट्टिटिषित्वा;  समट्ट्य, समट्ट्य, समटिट्टिष्य, समट्टिटिष्य;  अट्टम् २ अट्टित्वा २ अट्टम् २ अट्टयित्वा अटिट्टिषम् २ अटिट्टिषित्वा २ अट्टिटिषम् २;  अट्टिटिषित्वा २;
अट्ट	१३	अट्ट अनादरे हिंसातिक्रमयोरट्टेरट्टतेऽनादरेऽट्टयेत्	१०-चुरादिः-१५६१ अक-सेट्-उभयपदी।	से	अक	उभ		अट्टयित्वा, अट्टिटयिषित्वा	अट्टयितुम्, अट्टिटयिषितुम्	इति देवः। अट्टकः-ट्टिका,  अट्टिटयिषकः-षिका;  अट्टयिता-त्री, अट्टिटयिषिता-त्री;  अट्टयन्-न्ती, अट्टिटयिषन्-न्ती;  अट्टयिष्यन्-न्ती-ती, अट्टिटयिषिष्यन्-न्ती-ती;  अट्टयमानः, अट्टिटयिषमाणः;  अट्टयिष्यमाणः, अट्टिटयिषिष्यमाणः;  अत् , अद्, अट्टौ-अट्टः, अट्टितम्-तः-तवान्, अट्टिटयिषितम्-तः-तवान्;  अट्टः, अट्टिटयिषुः;  अट्टयितव्यम्, अट्टिटयिषितव्यम्;  अट्टनीयम्, अट्टिटयिषणीयम्;  अट्ट्यम्, अट्टिटयिष्यम्;  ईषदट्टः, दुरट्टः, स्वट्टः;  अट्ट्यमानः, अट्टिटयिष्यमाणः;  अट्टयितुम्, अट्टिटयिषितुम्;  अट्टना, अट्टिटयिषा;  अट्टनम्, अट्टिटयिषणम्;  अट्टयित्वा, अट्टिटयिषित्वा;  समट्ट्य, समट्टिटयिष्य;   अट्टम् २, अट्टयित्वा २, अट्टिटयिषम् २;  अट्टिटयिषित्वा २;
अठि	१४	अठि गतौ	१-भ्वादिः-२६१-सक। से-आ।	से	सक	आत्म	२			‘अकि लक्षणे’ (२) इति धातुवद्रूपाणि ज्ञेयानि। क्विपि अन्-इति रूपम्। संयोगान्तलोपः। न + अन् =  अनन्।
अड	१५	अड उद्यमने	१-भ्वादिः-३५८-सक। से। पर।	से	सक	पर	११			शतरि अडन् । अडतीत्यडः = वृश्चिकलाङ्गूलः। विशिष्टोऽडः = व्यडः। तस्यापत्यमत इञ् व्याडिः आचार्यः। संग्रहनामकस्य लक्षग्रन्थपरिमितस्य व्याकरण- शास्त्रस्य कर्ता पाणिनेर्भागिनेयः। स्वागतादित्वात् आदिवृद्धिप्रतिषेधः। इति मा। धा। वृत्तिः। अन्यानि सर्वाणि रूपाणि ‘अट गतौ’ (११) इतिवत् बोध्यानि।
अड्ड	१६	अड्ड अभियोगे अभियोगः	१-भ्वादिः-३४८-सक। से-पर।	से	सक	पर		अड्डित्वा, अड्डयित्वा, अड्डिडिषित्वा	अड्डितुम्, अड्डयितुम्, अड्डिडिषितुम्	अयं दोपधः। {@अभियोगः@} = समाधानम्। अड्डकः-ड्डिका, अड्डकः-ड्डिका,  अड्डिडिषकः-षिका;  अड्डिता-त्री, अड्डयिता-त्री, अड्डिडिषिता-त्री;  अड्डन्-न्ती, अड्डयन्-न्ती, अड्डिडिषन्-न्ती;  अड्डिष्यन्-न्ती-ती, अड्डयिष्यन्-न्ती-न्ती, अड्डिडिषिष्यन्-ती-न्ती;  अड्डयमानः, अड्डयिष्यमाणः;  अट्,  अत्-अद्  - अड्डौ-अड्डः;  अड्डितम्-तः-तवान्, अड्डितः, अड्डिडिषितम्-तः-तवान्;  अड्डः, अड्डः, अड्डिडिषुः, अड्डिडयिषुः;   अड्डितव्यम्, अड्डयितव्यम्, अड्डिडिषितव्यम्;  अड्डनीयम्, अड्डनीयम्, अड्डिडिषणीयम्;  अड्ड्यम्, अड्ड्यम्, अड्डिडिष्यम्;  ईषदड्डः-दुरड्डः, स्वड्डः;  अड्ड्यमानः, अड्ड्यमानः, अड्डिडिष्यमाणः;  अड्डः, अड्डः, अड्डिडिषः;  अड्डा, अड्डना, अड्डिडिषा, अड्डिडयिषा;  अड्डितुम्, अड्डयितुम्, अड्डिडिषितुम्;  अड्डनम्, अड्डनम्, अड्डिडिषणम्;  अड्डित्वा, अड्डयित्वा, अड्डिडिषित्वा;  प्राड्ड्य, समड्ड्य, समड्डिडिष्य;  अड्डम् २, अड्डित्वा २, अड्डम् २, अड्डयित्वा २, अड्डिडिषम् २;  अड्डिडिषित्वा २;
अण	१७	अण शब्दार्थः	१-भ्वादिः ४४४-अक। से-पर।	से	अक	पर		अणित्वा, आणयित्वा, अणिणिषित्वा	अणितुम्, आणयितुम्, अणिणिषितुम्	‘अणेरणति शब्दार्थे, प्राणते त्वण्यते श्यनि।’ (९२) इति देवः। आणकः-णिका, आणकः-णिका, अणिणिषकः-षिका;  अणिता-त्री, आणयिता-त्री, अणिणिषिता, त्री;  अणन्  -न्ती, आणयन्-न्ती, अणिणिषन्-न्ती;  अणिष्यन्-ती-न्ती, आणयिष्यन्-ती-न्ती, अणिणिषिष्यन्-ती-न्ती;  आणयमानः, आणयिष्यमाणः;  आण्  आणौ-आणः;  अणितम्-तः-तवान्, आणितम्-तः-तवान्, अणिणिषितम्-तः-तवान्;  अणः, प्राणः, आनः ध्वाङ्क्षाणी,  अणिणिषुः, आणिणयिषुः;   अणितव्यम्, आणयितव्यम्, अणिणिषितव्यम्;  अणनीयम्, आणनीयम्, अणिणिषणीयम्;  आण्यम्, आण्यम्, अणिणिष्यम्;  ईषदणः-दुरणः-स्वणः;  अण्यमानः, आण्यमानः, अणिणिष्यमाणः;  आणः, आणः, अणिणिषः;  अणितुम्, आणयितुम्, अणिणिषितुम्;   आण्टिः, आणना, अणिणिषा, आणिणयिषा;  अणनम्, आणनम्, अणिणिषणम्;  अणित्वा, आणयित्वा, अणिणिषित्वा;  प्राण्य, प्राण्य, समणिणिष्य;  आणम् २ अणित्वा २ आणम् २, आणयित्वा २, अणिणिषम् २;  अणिणिषित्वा २;
अण	१८	अण प्राणने	४ दिवादिः-११७५ अक। से। आ।	से	अक	आत्म		अणित्वा, आणयित्वा, अणिणिषित्वा	अणितुम्, आणयितुम्, अणिणिषितुम्	‘अणेरणति शब्दार्थे प्राणते त्वण्यते श्यनि’ (श्लो ९२) इति देवः। आ  णकः-णिका, आणकः-णिका, अणिणिषकः-षिका;  अणिता-त्री, आणयिता-त्री, अणिणिषिता-त्री;  आणयन्-न्ती, आणयिष्यन्-न्ती-ती;  अण्य  मानः, आणयमानः, अणिणिषमाणः;  अणिष्यमाणः आणयिष्यमाणः, अणिणिषिष्यमाणः;   प्राण्-प्राणौ-प्राणः;  अणितः-तम् तवान्, आणितः, अणिणिषितम्-तः-तवान्;  अणः, आणः, अणिणिषुः, आणिणयिषुः;   अणितव्यम्, आणयितव्यम्, अणिणिषितव्यम्;  अणनीयम्, आणनीयम्, अणिणिषणीयम्;  आण्यम्, आण्यम्, अणिणिष्यम्;  ईषदणः, दुरणः, स्वणः;  ईषदाणः, दुराणः, स्वाणः;  अण्यमाणः, आण्यमानः, अणिणिष्यमाणः;  आणः, आणः, अणिणिषः;  अणितुम्, आणयितुम्, अणिणिषितुम्;  आ  ण्टिः, आणना, अणिणिषा, आणिणयिषा;  अणनम् , आणनम्, अणिणिषणम्;  अणित्वा, आणयित्वा, अणिणिषित्वा;  प्राण्य, प्राण्य, प्राणिणिष्य;  आणम् २, अणित्वा २, आणम् २, आणयित्वा २, अणिणिषम् २;  अणिणिषित्वा २;
अत	१९	अत सातत्यगमने	१-भ्वादिः-३८-सक। से। पर।	से	सक	पर		अतित्वा, आतयित्वा, अतितिषित्वा	अतितुम्, आतयितुम्, अतितिषितुम्	‘बन्धनेऽन्तति, सातत्यगमनेऽतति, चिन्तयेत्।’ (श्लो। ९४) इति देवः। सातत्यगमनम् = सन्ततगमनम्। आतकः-तिका, आतकः-तिका, अतितिषकः-षिका;  अतिता-त्री, आतयिता-त्री, अतितिषिता-त्री;   अतन्-न्ती, आतयन्-न्ती, अतितिषन्-न्ती;  अतिष्यन्-न्ती-ती, आतयिष्यन्-ती-न्ती, अतितिषिष्यन्-न्ती-ती;  आतयमानः, आतयिष्यमाणः;  अत्-अतौ-अतः, मार्गात्;   अतितम्-तः-तवान्, आतितः, अतितिषितम्-तः-तवान्;   अतः , पदातिः , मार्गातः, आतः, अतितिषुः, आतितयिषुः;  अतितव्यम्, आतयितव्यम्, अतितिषितव्यम्;  अतनीयम्, आतनीयम्, अतितिषणीयम्;  आत्यम्, आत्यम्, अतितिष्यम्;  ईषदतः, दुरतः, स्वतः;  ईषदातः, दुरातः, स्वातः;  अत्यमानः, आत्यमानः, अतितिष्यमाणः;  आतः, आतः, अतितिषः;  अतितुम्, आतयितुम्, अतितिषितुम्;  अत्तिः, आतना, अतितिषा, आतितयिषा;  अतनम्, आतनम्, अतितिषणम्;  अतित्वा, आतयित्वा, अतितिषित्वा;  समत्य, समात्य, समतितिष्य;  आतम् २, अतित्वा २, आतम् २, आतयित्वा २, अतितिषम् २;  अतितिषित्वा २;   अतिथिः, आत्मा ।।
अति	२०	अति बन्धने	१-भ्वादिः-६१-सक। सेट्। पर।	से	सक	पर		अन्तित्वा, अन्तयित्वा, अन्तितिषित्वा	अन्तितुम्, अन्तयितुम्, अन्तितिषितुम्	‘बन्धनेऽन्तति, सातत्यगमनेऽतति, चिन्तयेत्।’ (श्लो ९४) इति देवः। अन्त  कः-न्तिका, अन्तकः-न्तिका, अन्ति  तिषकः-षिका;  अन्तिता-त्री, अन्तयिता-त्री, अन्तितिषिता-त्री;  अन्तन्-न्ती, अन्तयन्-न्ती, अन्तितिषन्-न्ती;  अन्तिष्यन्-ती-न्ती, अन्तयिष्यन्-ती-न्ती, अन्तितिषिष्यन्-ती-न्ती;   अन्तयमानः, अन्तयिष्यमाणः;  अन् , अन्तौ, अन्तः;  अन्तितम्-तः-तवान्, अन्तितः, अन्तितिषितम्-तः-तवान्;  अन्तः, सम  न्ती, अन्तितिषुः, अन्तितयिषुः;  अन्तितव्यम्, अन्तयितव्यम्, अन्तितिषितव्यम्;  अन्तनीयम्, अन्तनीयम्, अन्तितिषणीयम्;  अन्त्यम्, अन्त्यम्, अन्तितिष्यम्;  ईषदन्तः, दुरन्तः, स्वन्तः;  अ  न्त्यमानः, अन्त्यमानः, अन्तितिष्यमाणः;  अन्तः, अन्तः, अन्तितिषः;  अन्तितुम्, अन्तयितुम्, अन्तितिषितुम्;  अ  न्ता, अन्तना, अन्तितिषा, अन्तितयिषा;  अन्तनम्, अन्तनम्, अन्तितिषणम्;  अन्तित्वा, अन्तयित्वा, अन्तितिषित्वा;  समन्त्य, समन्त्य, समन्तितिष्य;  अन्तम् २, अन्तित्वा २, अन्तम् २, अन्तयित्वा २, अन्तितिषम् २;  अन्तितिषित्वा २
अद	२१	अद भक्षणे	२-अदादिः-१०११-सक-अनि। पर।	अनि	सक	पर		आदयित्वा, जिघत्सित्वा	अत्तुम्, आदयितुम्, जिघत्सितुम्	आदकः-दिका, आदकः-दिका,  जिघत्सकः-त्सिका;   अत्ता-त्री, आदयिता-त्री, जिघत्सिता, त्री;   अदन्-ती, आदयन्-न्ती, जिघत्सन्-न्ती;  अत्स्यन्-ती-न्ती, आदयिष्यन्-ती-न्ती, जिघत्सिष्यन्-ती-न्ती;   आ  दयमानः, आदयिष्यमाणः;  सस्या  त्, आमात्, क्रव्यात्  , क्रव्या  दः, प्रा  णात्, आमिषा  दः;   जग्धम्-ग्धः-ग्धवान्,  अन्नम्-न्नवान्;  आदितम्-तः, जिघत्सितम्-तः-तवान्,  घसः, अन्ना  दी, पुत्रादिनी, आदिवान्, जक्षि  वान्, अद्  मरः, जिघत्  सुः, अत्तव्यम्, आदयितव्यम्, जिघत्सितव्यम्;  अदनीयम्, आदनीयम्, जिघत्सनीयम्;  आद्यम्, आद्यम्, जिघत्स्यम्;  ईषददः-दुरदः-स्वदः;  अद्यमानः, आद्यमानः, जिघत्स्यमानः;   घासः, घसः,  न्यादः , निघसः, आदः,  संघसः , प्रघसः, जिघत्सः;   अत्तुम्-आदको (वा याति), आदयितुम्, जिघत्सितुम्;   अदनम्, आदनम्, जिघत्सनम्;  जग्धिः, आदना, जिघत्सा, जिघत्सयिषा;  जग्ध्वा, आदयित्वा, जिघत्सित्वा;  प्रजग्ध्य, समाद्य, प्रजिघत्स्य, आदम् २, जग्ध्वा २, आदम् २, आदयित्वा २, जिघत्सम् २;  जिघत्सित्वा २  अत्त्रिः,  अद्रिः;
अदि	२२	अदि बन्धने	१-भ्वादिः-६२-सक। से। पर-	से	सक	पर	२०			धातोरस्य पूर्वलिखितान्ततिवत् (२०) सर्वाणि रूपाणि बोध्यानि।
अन	२३	अन प्राणने	२-अदादिः-१०७०-अक। से। पर।	से	अक	पर		अनित्वा, आनयित्वा, अनिनिषित्वा	अनितुम्, आनयितुम्, अनिनिषितुम्	प्रपूर्वकोऽयं प्रायेण। आनकः-निका, आनकः-निका, अनिनिषकः-षिका;  अनिता-त्री, आनयिता-त्री, अनिनिषिता-त्री;  अनन्-ती,  प्राणन् , आनयन्-न्ती, प्राणयन्  अनिनिषन्-न्ती;  प्राणिष्यन्-ती-न्ती, प्राणयिष्यन्-ती-न्ती,  प्राणिणिषिष्यन्-न्ती-ती;  प्राणयमानः, प्राणयिष्यमाणः;  हे  प्राण्;  प्रा-  प्राणौ-प्राणः;  प्राणितम्-तः-तवान्;  आनितम्-तः, अनिनिषितम्-तः-तवान्;   प्राणः, प्राणः, अनिनिषुः,  प्राणिणिषुः, आनिनयिषुः;  प्राणितव्यम्, प्राणयितव्यम्, प्राणिणिषितव्यम्;  प्राणनीयम्, आननीयम्, अनिनिषणीयम्;  प्राण्यम्, प्राण्यम्, प्राणिणिष्यम्;  ईषदनः-दुरनः-स्वनः;  अन्यमानः, आन्यमानः, अनिनिष्यमाणः;  प्राणः , अपानः, व्यानः, उदानः, समानः, प्राणः, अनिनिषः;  अनितुम्, आनयितुम्, अनिनिषितुम्;  आन्तिः , प्राणना, अनिनिषा, आनिनयिषा;  अननम्, प्राणनम्, आननम्, अनिनिषणम्;  अनित्वा, आनयित्वा, अनिनिषित्वा;  प्राण्य, प्राण्य, प्राणिणिष्य;  प्राणम् २, अनित्वा २, प्राणम् २, आनयित्वा २, अनिनिषम् २, अनिनिषित्वा २
